prime,gap_from_prev,checks_for_prime,mods_since_last_prime,tested_since_last_prime,avg_tests_per_number,max_sqrt_seen_in_span
24593,22,155,330,22,15.0,156
24611,18,155,276,18,15.333333333333334,156
24623,12,155,423,12,35.25,156
24631,8,155,175,8,21.875,156
24659,28,156,566,28,20.214285714285715,157
24671,12,156,192,12,16.0,157
24677,6,156,171,6,28.5,157
24683,6,156,183,6,30.5,157
24691,8,156,172,8,21.5,157
24697,6,156,165,6,27.5,157
24709,12,156,218,12,18.166666666666668,157
24733,24,156,356,24,14.833333333333334,157
24749,16,156,320,16,20.0,157
24763,14,156,251,14,17.928571428571427,157
24767,4,156,160,4,40.0,157
24781,14,156,263,14,18.785714285714285,157
24793,12,156,188,12,15.666666666666666,157
24799,6,156,297,6,49.5,157
24809,10,156,185,10,18.5,157
24821,12,156,224,12,18.666666666666668,157
24841,20,156,370,20,18.5,157
24847,6,156,165,6,27.5,157
24851,4,156,160,4,40.0,157
24859,8,156,196,8,24.5,157
24877,18,156,219,18,12.166666666666666,157
24889,12,156,492,12,41.0,157
24907,18,156,231,18,12.833333333333334,157
24917,10,156,199,10,19.9,157
24919,2,156,157,2,78.5,157
24923,4,156,160,4,40.0,157
24943,20,156,398,20,19.9,157
24953,10,156,237,10,23.7,157
24967,14,157,294,14,21.0,158
24971,4,157,161,4,40.25,158
24977,6,157,174,6,29.0,158
24979,2,157,158,2,79.0,158
24989,10,157,176,10,17.6,158
25013,24,157,389,24,16.208333333333332,158
25031,18,157,464,18,25.77777777777778,158
25033,2,157,158,2,79.0,158
25037,4,157,161,4,40.25,158
25057,20,157,313,20,15.65,158
25073,16,157,275,16,17.1875,158
25087,14,157,212,14,15.142857142857142,158
25097,10,157,198,10,19.8,158
25111,14,157,208,14,14.857142857142858,158
25117,6,157,166,6,27.666666666666668,158
25121,4,157,161,4,40.25,158
25127,6,157,168,6,28.0,158
25147,20,157,285,20,14.25,158
25153,6,157,168,6,28.0,158
25163,10,157,314,10,31.4,158
25169,6,157,166,6,27.666666666666668,158
25171,2,157,158,2,79.0,158
25183,12,157,199,12,16.583333333333332,158
25189,6,157,250,6,41.666666666666664,158
25219,30,157,508,30,16.933333333333334,158
25229,10,157,180,10,18.0,158
25237,8,157,189,8,23.625,158
25243,6,157,204,6,34.0,158
25247,4,157,161,4,40.25,158
25253,6,157,168,6,28.0,158
25261,8,157,179,8,22.375,158
25301,40,158,584,40,14.6,159
25303,2,158,159,2,79.5,159
25307,4,158,162,4,40.5,159
25309,2,158,159,2,79.5,159
25321,12,158,194,12,16.166666666666668,159
25339,18,158,285,18,15.833333333333334,159
25343,4,158,162,4,40.5,159
25349,6,158,167,6,27.833333333333332,159
25357,8,158,268,8,33.5,159
25367,10,158,185,10,18.5,159
25373,6,158,185,6,30.833333333333332,159
25391,18,158,289,18,16.055555555555557,159
25409,18,158,367,18,20.38888888888889,159
25411,2,158,159,2,79.5,159
25423,12,158,188,12,15.666666666666666,159
25439,16,158,308,16,19.25,159
25447,8,158,180,8,22.5,159
25453,6,158,193,6,32.166666666666664,159
25457,4,158,162,4,40.5,159
25463,6,158,169,6,28.166666666666668,159
25469,6,158,167,6,27.833333333333332,159
25471,2,158,159,2,79.5,159
25523,52,158,696,52,13.384615384615385,159
25537,14,158,193,14,13.785714285714286,159
25541,4,158,162,4,40.5,159
25561,20,158,340,20,17.0,159
25577,16,158,324,16,20.25,159
